[kkalyan3@helios1 log]$ cat new_grid_exp2_cifar10_5_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.686196  Std Dev (0.097868) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 150, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.714587  Std Dev (0.081136) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 150, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.679957  Std Dev (0.108756) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 200, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.708043  Std Dev (0.083292) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 200, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.466304  Std Dev (0.342725) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 250, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.696848  Std Dev (0.091555) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 250, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.454500  Std Dev (0.336002) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 300, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.716022  Std Dev (0.090483) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 300, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.454413  Std Dev (0.338728) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 350, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.690565  Std Dev (0.109468) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 350, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.561978  Std Dev (0.141043) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 400, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.722804  Std Dev (0.083070) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 400, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.673761  Std Dev (0.108645) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 100, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.713978  Std Dev (0.096518) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 100, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.694500  Std Dev (0.091819) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 150, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.703739  Std Dev (0.088577) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 150, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.690717  Std Dev (0.100040) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 200, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.695826  Std Dev (0.089460) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 200, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.474370  Std Dev (0.343794) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 250, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.718000  Std Dev (0.084578) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 250, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.441370  Std Dev (0.335325) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 300, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.712261  Std Dev (0.086445) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 300, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.444957  Std Dev (0.332659) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 350, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.706435  Std Dev (0.093453) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 350, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.306783  Std Dev (0.229198) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 400, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.721043  Std Dev (0.095041) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 400, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.700109  Std Dev (0.094357) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 100, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.706630  Std Dev (0.104002) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 100, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.689717  Std Dev (0.089567) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 150, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.711761  Std Dev (0.083311) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 150, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.684957  Std Dev (0.100808) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 200, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.680783  Std Dev (0.096713) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 200, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.447087  Std Dev (0.332106) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 250, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.717435  Std Dev (0.089484) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 250, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.311761  Std Dev (0.234543) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 300, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.682304  Std Dev (0.102514) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 300, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.307674  Std Dev (0.230148) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 350, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.705239  Std Dev (0.092169) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 350, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.308478  Std Dev (0.231008) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 400, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.706413  Std Dev (0.098602) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 400, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.673348  Std Dev (0.096680) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 100, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.686478  Std Dev (0.101165) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 100, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.659783  Std Dev (0.100744) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 150, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.695913  Std Dev (0.090952) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 150, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.659000  Std Dev (0.113590) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 200, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.692109  Std Dev (0.092999) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 200, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.682087  Std Dev (0.083334) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 250, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.695196  Std Dev (0.087637) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 250, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.448913  Std Dev (0.334863) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 300, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.694761  Std Dev (0.091915) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 300, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.471261  Std Dev (0.340531) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 350, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.707761  Std Dev (0.077910) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 350, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.313717  Std Dev (0.236668) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 400, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.716261  Std Dev (0.068204) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 400, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.690870  Std Dev (0.081479) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 100, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.693304  Std Dev (0.089500) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 100, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.672783  Std Dev (0.098535) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 150, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.698043  Std Dev (0.093576) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 150, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.655870  Std Dev (0.108064) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 200, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.693870  Std Dev (0.090641) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 200, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.472935  Std Dev (0.342094) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 250, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.705826  Std Dev (0.092010) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 250, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.654196  Std Dev (0.107640) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 300, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.710283  Std Dev (0.088584) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 300, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.438065  Std Dev (0.330928) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 350, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.703283  Std Dev (0.089345) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 350, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.321174  Std Dev (0.244885) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 400, 'epochs': 90, 'drop_out1': 0.5}
