[kkalyan3@helios1 log]$ cat new_grid_exp1_cifar10_5_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.279667  Std Dev (0.209896) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 400, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.709889  Std Dev (0.094789) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 400, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.685644  Std Dev (0.096640) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 100, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.706311  Std Dev (0.106658) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 100, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.648778  Std Dev (0.130736) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 150, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.721444  Std Dev (0.086885) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 150, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.674556  Std Dev (0.119704) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 200, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.711578  Std Dev (0.104197) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 200, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.449378  Std Dev (0.333647) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 250, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.705889  Std Dev (0.098260) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 250, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.276222  Std Dev (0.206212) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 300, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.712089  Std Dev (0.105807) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 300, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.286822  Std Dev (0.217700) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 350, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.725511  Std Dev (0.081637) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 350, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.464156  Std Dev (0.339379) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 400, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.679422  Std Dev (0.118510) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 400, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.684511  Std Dev (0.125817) with param: {'act_layer1': 'sigmoid', 'epochs': 130, 'hu_1': 100, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.704578  Std Dev (0.106497) with param: {'act_layer1': 'sigmoid', 'epochs': 130, 'hu_1': 100, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.660244  Std Dev (0.123742) with param: {'act_layer1': 'sigmoid', 'epochs': 130, 'hu_1': 150, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.703622  Std Dev (0.109091) with param: {'act_layer1': 'sigmoid', 'epochs': 130, 'hu_1': 150, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.698489  Std Dev (0.102408) with param: {'act_layer1': 'sigmoid', 'epochs': 130, 'hu_1': 200, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.697911  Std Dev (0.091234) with param: {'act_layer1': 'sigmoid', 'epochs': 130, 'hu_1': 200, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.290600  Std Dev (0.221895) with param: {'act_layer1': 'sigmoid', 'epochs': 130, 'hu_1': 250, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.704822  Std Dev (0.095053) with param: {'act_layer1': 'sigmoid', 'epochs': 130, 'hu_1': 250, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.279267  Std Dev (0.209466) with param: {'act_layer1': 'sigmoid', 'epochs': 130, 'hu_1': 300, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.705667  Std Dev (0.102871) with param: {'act_layer1': 'sigmoid', 'epochs': 130, 'hu_1': 300, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.453711  Std Dev (0.336889) with param: {'act_layer1': 'sigmoid', 'epochs': 130, 'hu_1': 350, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.712644  Std Dev (0.104771) with param: {'act_layer1': 'sigmoid', 'epochs': 130, 'hu_1': 350, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.451511  Std Dev (0.338639) with param: {'act_layer1': 'sigmoid', 'epochs': 130, 'hu_1': 400, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.685089  Std Dev (0.108342) with param: {'act_layer1': 'sigmoid', 'epochs': 130, 'hu_1': 400, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.647756  Std Dev (0.111614) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 100, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.675489  Std Dev (0.114633) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 100, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.698556  Std Dev (0.095264) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 150, 'drop_out1': 0.5, 'lr': 0.1}
