[kkalyan3@helios1 log]$ cat new_grid_exp2_mnist_21_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.357500  Std Dev (0.448174) with param: {'lr': 0.1, 'hu_1': 400, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 130}
INFO:root:Mean Acc : 0.686778  Std Dev (0.426883) with param: {'lr': 0.01, 'hu_1': 400, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 130}
INFO:root:Mean Acc : 0.679944  Std Dev (0.422110) with param: {'lr': 0.1, 'hu_1': 100, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.685972  Std Dev (0.426367) with param: {'lr': 0.01, 'hu_1': 100, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.683806  Std Dev (0.424920) with param: {'lr': 0.1, 'hu_1': 150, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.687250  Std Dev (0.427270) with param: {'lr': 0.01, 'hu_1': 150, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.680972  Std Dev (0.422848) with param: {'lr': 0.1, 'hu_1': 200, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.687222  Std Dev (0.427309) with param: {'lr': 0.01, 'hu_1': 200, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.684806  Std Dev (0.425607) with param: {'lr': 0.1, 'hu_1': 250, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.687083  Std Dev (0.427210) with param: {'lr': 0.01, 'hu_1': 250, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.679333  Std Dev (0.421695) with param: {'lr': 0.1, 'hu_1': 300, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.687139  Std Dev (0.427192) with param: {'lr': 0.01, 'hu_1': 300, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.387944  Std Dev (0.418769) with param: {'lr': 0.1, 'hu_1': 350, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.686833  Std Dev (0.426983) with param: {'lr': 0.01, 'hu_1': 350, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.347583  Std Dev (0.451909) with param: {'lr': 0.1, 'hu_1': 400, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 50}
