[kkalyan3@helios1 log]$ cat new_grid_exp1_mnist_21_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.709400  Std Dev (0.400809) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.703314  Std Dev (0.408564) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.709914  Std Dev (0.401109) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.214971  Std Dev (0.061454) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.709771  Std Dev (0.401008) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.127229  Std Dev (0.049461) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.710371  Std Dev (0.401432) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.410200  Std Dev (0.411424) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.710171  Std Dev (0.401291) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.706771  Std Dev (0.398837) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.709943  Std Dev (0.401068) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.707771  Std Dev (0.399600) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.710971  Std Dev (0.401856) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.708914  Std Dev (0.400402) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.709829  Std Dev (0.401114) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.476057  Std Dev (0.366842) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.709314  Std Dev (0.400745) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.410314  Std Dev (0.411775) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.707943  Std Dev (0.399728) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.700229  Std Dev (0.394403) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.709829  Std Dev (0.401109) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.688571  Std Dev (0.426627) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.710743  Std Dev (0.401695) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.708229  Std Dev (0.399978) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.709771  Std Dev (0.401008) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
