[kkalyan3@helios1 log]$ cat new_grid_exp1_cifar10_21_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.363267  Std Dev (0.299841) with param: {'hu_1': 300, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.666178  Std Dev (0.099598) with param: {'hu_1': 300, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.342889  Std Dev (0.283949) with param: {'hu_1': 350, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.667600  Std Dev (0.110927) with param: {'hu_1': 350, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.332756  Std Dev (0.271458) with param: {'hu_1': 400, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.705489  Std Dev (0.100739) with param: {'hu_1': 400, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.425778  Std Dev (0.250620) with param: {'hu_1': 100, 'epochs': 90, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.685200  Std Dev (0.107979) with param: {'hu_1': 100, 'epochs': 90, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.489778  Std Dev (0.216351) with param: {'hu_1': 150, 'epochs': 90, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.699200  Std Dev (0.104131) with param: {'hu_1': 150, 'epochs': 90, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.381644  Std Dev (0.264182) with param: {'hu_1': 200, 'epochs': 90, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.691511  Std Dev (0.102180) with param: {'hu_1': 200, 'epochs': 90, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.446556  Std Dev (0.322924) with param: {'hu_1': 250, 'epochs': 90, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.708533  Std Dev (0.106925) with param: {'hu_1': 250, 'epochs': 90, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.365378  Std Dev (0.312235) with param: {'hu_1': 300, 'epochs': 90, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.690600  Std Dev (0.091408) with param: {'hu_1': 300, 'epochs': 90, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.111111  Std Dev (0.157135) with param: {'hu_1': 350, 'epochs': 90, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.676822  Std Dev (0.110990) with param: {'hu_1': 350, 'epochs': 90, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.111111  Std Dev (0.157135) with param: {'hu_1': 400, 'epochs': 90, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.684356  Std Dev (0.103863) with param: {'hu_1': 400, 'epochs': 90, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.448400  Std Dev (0.283403) with param: {'hu_1': 100, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.696800  Std Dev (0.107942) with param: {'hu_1': 100, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.475867  Std Dev (0.294802) with param: {'hu_1': 150, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.703800  Std Dev (0.085460) with param: {'hu_1': 150, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.411689  Std Dev (0.309411) with param: {'hu_1': 200, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.699244  Std Dev (0.105050) with param: {'hu_1': 200, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.384000  Std Dev (0.294800) with param: {'hu_1': 250, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.698067  Std Dev (0.086981) with param: {'hu_1': 250, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.364667  Std Dev (0.311330) with param: {'hu_1': 300, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.706222  Std Dev (0.092183) with param: {'hu_1': 300, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.351889  Std Dev (0.295183) with param: {'hu_1': 350, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.704578  Std Dev (0.096039) with param: {'hu_1': 350, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.111111  Std Dev (0.157135) with param: {'hu_1': 400, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.700289  Std Dev (0.086951) with param: {'hu_1': 400, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.706600  Std Dev (0.111286) with param: {'hu_1': 100, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.681778  Std Dev (0.109206) with param: {'hu_1': 100, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.662644  Std Dev (0.129173) with param: {'hu_1': 150, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.711778  Std Dev (0.103239) with param: {'hu_1': 150, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.417289  Std Dev (0.328535) with param: {'hu_1': 200, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.753889  Std Dev (0.090843) with param: {'hu_1': 200, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.350356  Std Dev (0.209851) with param: {'hu_1': 250, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
