[kkalyan3@helios1 log]$ cat new_grid_exp2_mnist_5_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.690722  Std Dev (0.429489) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.611806  Std Dev (0.373687) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690722  Std Dev (0.429490) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.549778  Std Dev (0.329826) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690917  Std Dev (0.429626) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.582333  Std Dev (0.360739) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690778  Std Dev (0.429528) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.587694  Std Dev (0.359692) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690861  Std Dev (0.429647) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.518944  Std Dev (0.310604) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690556  Std Dev (0.429430) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.484583  Std Dev (0.296093) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690389  Std Dev (0.429253) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.553778  Std Dev (0.343440) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.657444  Std Dev (0.407898) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.521861  Std Dev (0.311577) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690583  Std Dev (0.429392) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.517583  Std Dev (0.309858) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690889  Std Dev (0.429607) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.487083  Std Dev (0.329763) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690694  Std Dev (0.429588) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.518333  Std Dev (0.310659) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690444  Std Dev (0.429293) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.520917  Std Dev (0.311789) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690056  Std Dev (0.429017) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.562000  Std Dev (0.347503) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690000  Std Dev (0.428978) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.455083  Std Dev (0.266400) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690361  Std Dev (0.429292) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.447194  Std Dev (0.260120) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690500  Std Dev (0.429332) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.353056  Std Dev (0.208359) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690528  Std Dev (0.429411) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.389556  Std Dev (0.220385) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.654667  Std Dev (0.406319) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.455000  Std Dev (0.264821) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.653694  Std Dev (0.405705) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.682722  Std Dev (0.423892) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.685889  Std Dev (0.426130) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.681583  Std Dev (0.423028) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.686028  Std Dev (0.426171) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.620028  Std Dev (0.379562) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.650139  Std Dev (0.403381) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.149139  Std Dev (0.164919) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.654278  Std Dev (0.405456) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.148139  Std Dev (0.070637) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.685806  Std Dev (0.426014) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.121139  Std Dev (0.066796) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.687139  Std Dev (0.427015) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.051250  Std Dev (0.039407) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.685278  Std Dev (0.425641) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.647361  Std Dev (0.401261) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.683389  Std Dev (0.424311) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.682917  Std Dev (0.424029) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.684194  Std Dev (0.424873) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.682556  Std Dev (0.423714) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.684000  Std Dev (0.424735) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.024500  Std Dev (0.034648) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.681944  Std Dev (0.423293) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.017333  Std Dev (0.024513) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.684667  Std Dev (0.425207) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.016306  Std Dev (0.023060) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.684000  Std Dev (0.424741) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.076611  Std Dev (0.085860) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.684417  Std Dev (0.425035) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.680861  Std Dev (0.422516) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
