[kkalyan3@helios1 log]$ cat new_grid_exp2_cifar10_21_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.405239  Std Dev (0.301238) with param: {'act_layer1': 'relu', 'hu_1': 250, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 130}
INFO:root:Mean Acc : 0.714478  Std Dev (0.080562) with param: {'act_layer1': 'relu', 'hu_1': 250, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 130}
INFO:root:Mean Acc : 0.384283  Std Dev (0.319942) with param: {'act_layer1': 'relu', 'hu_1': 300, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 130}
INFO:root:Mean Acc : 0.706696  Std Dev (0.083168) with param: {'act_layer1': 'relu', 'hu_1': 300, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 130}
INFO:root:Mean Acc : 0.381109  Std Dev (0.297908) with param: {'act_layer1': 'relu', 'hu_1': 350, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 130}
INFO:root:Mean Acc : 0.694000  Std Dev (0.090983) with param: {'act_layer1': 'relu', 'hu_1': 350, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 130}
INFO:root:Mean Acc : 0.360870  Std Dev (0.291163) with param: {'act_layer1': 'relu', 'hu_1': 400, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 130}
INFO:root:Mean Acc : 0.704413  Std Dev (0.090108) with param: {'act_layer1': 'relu', 'hu_1': 400, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 130}
INFO:root:Mean Acc : 0.671065  Std Dev (0.122466) with param: {'act_layer1': 'sigmoid', 'hu_1': 100, 'lr': 0.1, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.693087  Std Dev (0.104399) with param: {'act_layer1': 'sigmoid', 'hu_1': 100, 'lr': 0.01, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.690043  Std Dev (0.112160) with param: {'act_layer1': 'sigmoid', 'hu_1': 150, 'lr': 0.1, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.697239  Std Dev (0.098927) with param: {'act_layer1': 'sigmoid', 'hu_1': 150, 'lr': 0.01, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.512196  Std Dev (0.103588) with param: {'act_layer1': 'sigmoid', 'hu_1': 200, 'lr': 0.1, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.688630  Std Dev (0.099200) with param: {'act_layer1': 'sigmoid', 'hu_1': 200, 'lr': 0.01, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.324630  Std Dev (0.236839) with param: {'act_layer1': 'sigmoid', 'hu_1': 250, 'lr': 0.1, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.720283  Std Dev (0.104982) with param: {'act_layer1': 'sigmoid', 'hu_1': 250, 'lr': 0.01, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.330478  Std Dev (0.245037) with param: {'act_layer1': 'sigmoid', 'hu_1': 300, 'lr': 0.1, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.703174  Std Dev (0.092187) with param: {'act_layer1': 'sigmoid', 'hu_1': 300, 'lr': 0.01, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.305652  Std Dev (0.227997) with param: {'act_layer1': 'sigmoid', 'hu_1': 350, 'lr': 0.1, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.745022  Std Dev (0.088702) with param: {'act_layer1': 'sigmoid', 'hu_1': 350, 'lr': 0.01, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.317435  Std Dev (0.240742) with param: {'act_layer1': 'sigmoid', 'hu_1': 400, 'lr': 0.1, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.732739  Std Dev (0.078797) with param: {'act_layer1': 'sigmoid', 'hu_1': 400, 'lr': 0.01, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.666935  Std Dev (0.103205) with param: {'act_layer1': 'sigmoid', 'hu_1': 100, 'lr': 0.1, 'drop_out1': 0, 'epochs': 90}
INFO:root:Mean Acc : 0.696196  Std Dev (0.098638) with param: {'act_layer1': 'sigmoid', 'hu_1': 100, 'lr': 0.01, 'drop_out1': 0, 'epochs': 90}
INFO:root:Mean Acc : 0.678870  Std Dev (0.096934) with param: {'act_layer1': 'sigmoid', 'hu_1': 150, 'lr': 0.1, 'drop_out1': 0, 'epochs': 90}
INFO:root:Mean Acc : 0.702826  Std Dev (0.088279) with param: {'act_layer1': 'sigmoid', 'hu_1': 150, 'lr': 0.01, 'drop_out1': 0, 'epochs': 90}
INFO:root:Mean Acc : 0.685174  Std Dev (0.089757) with param: {'act_layer1': 'sigmoid', 'hu_1': 200, 'lr': 0.1, 'drop_out1': 0, 'epochs': 90}
INFO:root:Mean Acc : 0.727630  Std Dev (0.068737) with param: {'act_layer1': 'sigmoid', 'hu_1': 200, 'lr': 0.01, 'drop_out1': 0, 'epochs': 90}
INFO:root:Mean Acc : 0.333804  Std Dev (0.246848) with param: {'act_layer1': 'sigmoid', 'hu_1': 250, 'lr': 0.1, 'drop_out1': 0, 'epochs': 90}
INFO:root:Mean Acc : 0.695500  Std Dev (0.091688) with param: {'act_layer1': 'sigmoid', 'hu_1': 250, 'lr': 0.01, 'drop_out1': 0, 'epochs': 90}
INFO:root:Mean Acc : 0.364913  Std Dev (0.204902) with param: {'act_layer1': 'sigmoid', 'hu_1': 300, 'lr': 0.1, 'drop_out1': 0, 'epochs': 90}
INFO:root:Mean Acc : 0.696717  Std Dev (0.081201) with param: {'act_layer1': 'sigmoid', 'hu_1': 300, 'lr': 0.01, 'drop_out1': 0, 'epochs': 90}
INFO:root:Mean Acc : 0.302630  Std Dev (0.224811) with param: {'act_layer1': 'sigmoid', 'hu_1': 350, 'lr': 0.1, 'drop_out1': 0, 'epochs': 90}
INFO:root:Mean Acc : 0.711217  Std Dev (0.077703) with param: {'act_layer1': 'sigmoid', 'hu_1': 350, 'lr': 0.01, 'drop_out1': 0, 'epochs': 90}
INFO:root:Mean Acc : 0.147391  Std Dev (0.208446) with param: {'act_layer1': 'sigmoid', 'hu_1': 400, 'lr': 0.1, 'drop_out1': 0, 'epochs': 90}
INFO:root:Mean Acc : 0.704000  Std Dev (0.075228) with param: {'act_layer1': 'sigmoid', 'hu_1': 400, 'lr': 0.01, 'drop_out1': 0, 'epochs': 90}
INFO:root:Mean Acc : 0.695457  Std Dev (0.086713) with param: {'act_layer1': 'sigmoid', 'hu_1': 100, 'lr': 0.1, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.704457  Std Dev (0.093618) with param: {'act_layer1': 'sigmoid', 'hu_1': 100, 'lr': 0.01, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.657109  Std Dev (0.103577) with param: {'act_layer1': 'sigmoid', 'hu_1': 150, 'lr': 0.1, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.701304  Std Dev (0.090725) with param: {'act_layer1': 'sigmoid', 'hu_1': 150, 'lr': 0.01, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.448457  Std Dev (0.333876) with param: {'act_layer1': 'sigmoid', 'hu_1': 200, 'lr': 0.1, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.685500  Std Dev (0.090465) with param: {'act_layer1': 'sigmoid', 'hu_1': 200, 'lr': 0.01, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.313435  Std Dev (0.226224) with param: {'act_layer1': 'sigmoid', 'hu_1': 250, 'lr': 0.1, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.705913  Std Dev (0.083246) with param: {'act_layer1': 'sigmoid', 'hu_1': 250, 'lr': 0.01, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.471304  Std Dev (0.342886) with param: {'act_layer1': 'sigmoid', 'hu_1': 300, 'lr': 0.1, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.694935  Std Dev (0.093623) with param: {'act_layer1': 'sigmoid', 'hu_1': 300, 'lr': 0.01, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.311087  Std Dev (0.223106) with param: {'act_layer1': 'sigmoid', 'hu_1': 350, 'lr': 0.1, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.695391  Std Dev (0.087759) with param: {'act_layer1': 'sigmoid', 'hu_1': 350, 'lr': 0.01, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.300739  Std Dev (0.222835) with param: {'act_layer1': 'sigmoid', 'hu_1': 400, 'lr': 0.1, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.703065  Std Dev (0.085735) with param: {'act_layer1': 'sigmoid', 'hu_1': 400, 'lr': 0.01, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.675978  Std Dev (0.094163) with param: {'act_layer1': 'sigmoid', 'hu_1': 100, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.701978  Std Dev (0.118831) with param: {'act_layer1': 'sigmoid', 'hu_1': 100, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.679109  Std Dev (0.090373) with param: {'act_layer1': 'sigmoid', 'hu_1': 150, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.715935  Std Dev (0.101839) with param: {'act_layer1': 'sigmoid', 'hu_1': 150, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.652043  Std Dev (0.101728) with param: {'act_layer1': 'sigmoid', 'hu_1': 200, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.704674  Std Dev (0.101104) with param: {'act_layer1': 'sigmoid', 'hu_1': 200, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.461674  Std Dev (0.291111) with param: {'act_layer1': 'sigmoid', 'hu_1': 250, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 50}
