[kkalyan3@helios1 log]$ cat new_grid_exp1_mnist_5_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.670400  Std Dev (0.376103) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 150, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.705800  Std Dev (0.398266) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 200, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.707400  Std Dev (0.399452) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 200, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.358829  Std Dev (0.257754) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 250, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.707000  Std Dev (0.399113) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 250, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.270543  Std Dev (0.173941) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 300, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.675171  Std Dev (0.378737) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 300, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.256771  Std Dev (0.116821) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 350, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.708343  Std Dev (0.400058) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 350, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.083257  Std Dev (0.090971) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 400, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.708486  Std Dev (0.400160) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 400, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.704229  Std Dev (0.397149) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 100, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.706743  Std Dev (0.398927) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 100, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.704571  Std Dev (0.397456) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 150, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.700886  Std Dev (0.394794) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 150, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.703457  Std Dev (0.396546) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 200, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.706886  Std Dev (0.399031) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 200, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.493886  Std Dev (0.329616) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 250, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.706114  Std Dev (0.398423) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 250, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.325343  Std Dev (0.207190) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 300, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.707314  Std Dev (0.399272) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 300, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.255686  Std Dev (0.138932) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 350, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.705029  Std Dev (0.397733) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 350, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.022943  Std Dev (0.032447) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 400, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.706571  Std Dev (0.398867) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 400, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.704543  Std Dev (0.397372) with param: {'epochs': 130, 'lr': 0.1, 'hu_1': 100, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.706771  Std Dev (0.398888) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 100, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.704514  Std Dev (0.397414) with param: {'epochs': 130, 'lr': 0.1, 'hu_1': 150, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.670657  Std Dev (0.375820) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 150, 'act_layer1': 'sigmoid', 'drop_out1': 0}
